k,memory_mb,gpu_memory_mb
1,1359.30859375,0.0
1,1359.30859375,0.0
1,1359.30859375,0.0
1,1359.30859375,0.0
1,1359.30859375,0.0
3,1651.8359375,0.0
3,1651.8359375,0.0
3,1651.8359375,0.0
3,1651.8359375,0.0
3,1651.8359375,0.0
5,1794.18359375,0.0
5,1794.18359375,0.0
5,1794.18359375,0.0
5,1794.18359375,0.0
5,1794.18359375,0.0
7,1915.8515625,0.0
7,1915.8515625,0.0
7,1915.8515625,0.0
7,1915.8515625,0.0
7,1915.8515625,0.0
10,2073.1640625,0.0
10,2073.1640625,0.0
10,2073.1640625,0.0
10,2073.1640625,0.0
10,2073.1640625,0.0
