k,memory_mb,gpu_memory_mb
1,1356.5703125,0.0
1,1356.5703125,0.0
1,1356.5703125,0.0
1,1356.5703125,0.0
1,1356.5703125,0.0
3,1649.96875,0.0
3,1649.96875,0.0
3,1649.96875,0.0
3,1649.96875,0.0
3,1649.96875,0.0
5,1808.50390625,0.0
5,1808.50390625,0.0
5,1808.50390625,0.0
5,1808.50390625,0.0
5,1808.50390625,0.0
7,1921.8671875,0.0
7,1921.8671875,0.0
7,1921.8671875,0.0
7,1921.8671875,0.0
7,1921.8671875,0.0
10,2080.8203125,0.0
10,2080.8203125,0.0
10,2080.8203125,0.0
10,2080.8203125,0.0
10,2080.8203125,0.0
