k,memory_mb,gpu_memory_mb
1,1358.94140625,0.0
1,1358.94140625,0.0
1,1358.94140625,0.0
1,1358.94140625,0.0
1,1358.94140625,0.0
3,1652.64453125,0.0
3,1652.64453125,0.0
3,1652.64453125,0.0
3,1652.64453125,0.0
3,1652.64453125,0.0
5,1817.2578125,0.0
5,1817.2578125,0.0
5,1817.2578125,0.0
5,1817.2578125,0.0
5,1817.2578125,0.0
7,1938.734375,0.0
7,1938.734375,0.0
7,1938.734375,0.0
7,1938.734375,0.0
7,1938.734375,0.0
10,2096.203125,0.0
10,2096.203125,0.0
10,2096.203125,0.0
10,2096.203125,0.0
10,2096.203125,0.0
