k,time_ms
1,20278.936789
1,23386.783813002694
1,24256.896266000695
1,20419.660236999334
1,23896.285480001097
3,28508.41052800024
3,24984.338035999826
3,30159.619366997504
3,30349.46270799992
3,27974.717356999463
5,75.9158840010059
5,56.6466650016082
5,53.684844002418686
5,71.28182499945979
5,58.877239000139525
7,103.89339099856443
7,66.15905199942063
7,88.65718200104311
7,78.23180100240279
7,87.09076000013738
10,94.97575500063249
10,114.6394440002041
10,95.93739999763784
10,111.40344899831689
10,74.916197998391
