k,memory_mb,gpu_memory_mb
1,1358.2421875,0.0
1,1358.2421875,0.0
1,1358.2421875,0.0
1,1358.2421875,0.0
1,1358.2421875,0.0
3,1652.62109375,0.0
3,1652.62109375,0.0
3,1652.62109375,0.0
3,1652.62109375,0.0
3,1652.62109375,0.0
5,1816.390625,0.0
5,1816.390625,0.0
5,1816.390625,0.0
5,1816.390625,0.0
5,1816.390625,0.0
7,1943.3671875,0.0
7,1943.3671875,0.0
7,1943.3671875,0.0
7,1943.3671875,0.0
7,1943.3671875,0.0
10,2096.578125,0.0
10,2096.578125,0.0
10,2096.578125,0.0
10,2096.578125,0.0
10,2096.578125,0.0
