k,memory_mb,gpu_memory_mb
1,1363.95703125,0.0
1,1366.09375,0.0
1,1367.1640625,0.0
1,1367.8671875,0.0
1,1409.44140625,0.0
3,1708.12890625,0.0
3,1708.38671875,0.0
3,1708.38671875,0.0
3,1708.7265625,0.0
3,1735.421875,0.0
5,1882.125,0.0
5,1884.91015625,0.0
5,1885.16015625,0.0
5,1885.28515625,0.0
5,1885.53515625,0.0
7,2000.73828125,0.0
7,2000.73828125,0.0
7,1959.8046875,0.0
7,1959.8046875,0.0
7,1959.484375,0.0
10,2150.5234375,0.0
10,2164.80859375,0.0
10,2165.68359375,0.0
10,2165.93359375,0.0
10,2166.43359375,0.0
